,0
0,0.3983888924121858
1,0.3938492238521577
2,0.38634225726127636
3,0.37651732563972484
4,0.3650459647178651
5,0.3525110483169557
6,0.3393729925155641
7,0.3259736001491548
8,0.3125555515289308
9,0.2992851734161378
10,0.28627276420593273
11,0.2735896110534669
12,0.26128053665161144
13,0.24937301874160778
14,0.23788368701934826
15,0.2268224358558656
16,0.2161950170993806
17,0.20600453019142162
18,0.1962522566318512
19,0.18693763017654408
20,0.17805837094783794
21,0.16961067914962757
22,0.16158843040466297
23,0.15398383140563965
24,0.1467871516942978
25,0.13998687267303456
26,0.13357017934322368
27,0.12752291560173024
28,0.12183014303445816
29,0.11647612601518642
30,0.11144512891769409
31,0.10672090947628021
32,0.10228779166936874
33,0.0981299877166748
34,0.0942324697971344
35,0.09058056771755219
36,0.08716036379337311
37,0.08395849168300629
38,0.08096253871917725
39,0.07816070318222046
40,0.07554187625646591
41,0.07309602200984955
42,0.07081346213817596
43,0.06868554651737213
44,0.0667041689157486
45,0.06486199796199799
46,0.06315232813358307
47,0.06156900152564049
48,0.0601062998175621
49,0.05875914916396141
