,0
0,0.21276512742042542
1,0.2141697108745575
2,0.21353721618652344
3,0.21119821071624756
4,0.20761162042617798
5,0.2032330334186554
6,0.19844815135002136
7,0.19355106353759766
8,0.18874633312225342
9,0.18416324257850647
10,0.1798725128173828
11,0.17590288817882538
12,0.17225462198257446
13,0.16890990734100342
14,0.16584040224552155
15,0.16301259398460388
16,0.16039115190505981
17,0.15794135630130768
18,0.15563040971755981
19,0.153428316116333
20,0.15130841732025146
21,0.14924770593643188
22,0.14722687005996704
23,0.1452305018901825
24,0.1432466208934784
25,0.14126701653003693
26,0.13928663730621338
27,0.13730351626873016
28,0.1353183090686798
29,0.13333399593830064
30,0.1313554048538208
31,0.1293889433145523
32,0.12744203209877014
33,0.12552276253700256
34,0.12363967299461365
35,0.12180117517709776
36,0.12001536041498184
37,0.1182897761464119
38,0.11663133651018143
39,0.11504592001438141
40,0.1135384738445282
41,0.11211280524730682
42,0.11077170073986053
43,0.10951688140630722
44,0.10834892094135284
45,0.10726767033338547
46,0.10627195984125137
47,0.10535980761051222
48,0.10452873259782791
49,0.10377570241689682
